Ссылка,Раздел,Уровень,Группа,Видимость,Родитель по полю раздел,min,max
subopts-for-2511m1549,CVX 130,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 150,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 160,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 170,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 175,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 195,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 220,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 230,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 1155,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 1170,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511m1549,CVX 1190,Level: 4,Group: 2,hidden,CVX,0,0
subopts-for-2511,Farmall,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1625,Farmall 55,Level: 4,Group: 2,hidden,Farmall,0,0
subopts-for-2511m1625,Farmall 65,Level: 4,Group: 2,hidden,Farmall,0,0
subopts-for-2511m1625,Farmall 75,Level: 4,Group: 2,hidden,Farmall,0,0
subopts-for-2511m1625,Farmall 85,Level: 4,Group: 2,hidden,Farmall,0,0
subopts-for-2511m1625,Farmall 95,Level: 4,Group: 2,hidden,Farmall,0,0
subopts-for-2511m1625,Farmall 105,Level: 4,Group: 2,hidden,Farmall,0,0
subopts-for-2511m1625,Farmall 115,Level: 4,Group: 2,hidden,Farmall,0,0
subopts-for-2511,International,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511,JX,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1609,JX 80,Level: 4,Group: 2,hidden,JX,0,0
subopts-for-2511m1609,JX 90,Level: 4,Group: 2,hidden,JX,0,0
subopts-for-2511m1609,JX 95,Level: 4,Group: 2,hidden,JX,0,0
subopts-for-2511m1609,JX 100,Level: 4,Group: 2,hidden,JX,0,0
subopts-for-2511m1609,JX 110,Level: 4,Group: 2,hidden,JX,0,0
subopts-for-2511m1609,JX 1090,Level: 4,Group: 2,hidden,JX,0,0
subopts-for-2511m1609,JX 1100,Level: 4,Group: 2,hidden,JX,0,0
subopts-for-2511,Luxxum,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m40848,Luxxum 100,Level: 4,Group: 2,hidden,Luxxum,0,0
subopts-for-2511m40848,Luxxum 110,Level: 4,Group: 2,hidden,Luxxum,0,0
subopts-for-2511m40848,Luxxum 120,Level: 4,Group: 2,hidden,Luxxum,0,0
subopts-for-2511,MX,Level: 3,Group: 2,hidden,Case IH,0,0
subopts-for-2511m1547,MX 90,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 100,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 110,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 120,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 135,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 150,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 170,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 200,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 230,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 240,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 255,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 270,Level: 4,Group: 2,hidden,MX,0,0
subopts-for-2511m1547,MX 285,Level: 4,Group: 2,hidden,MX,0,0
